Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
France,2.213749,46.227638,Europe,EU,Malawi,34.301525,-13.254307999999998,Africa,1000 US$,195.926
France,2.213749,46.227638,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,62969.289000000004
France,2.213749,46.227638,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,4883.217000000001
France,2.213749,46.227638,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,3416.31
France,2.213749,46.227638,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,11.13
France,2.213749,46.227638,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,51966.244000000006
France,2.213749,46.227638,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,38874.623999999996
France,2.213749,46.227638,Europe,EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,15171.081
France,2.213749,46.227638,Europe,EU,Chile,-71.542969,-35.675146999999996,South America,1000 US$,1373.763
France,2.213749,46.227638,Europe,EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,1871.118
France,2.213749,46.227638,Europe,EU,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,7731.68
France,2.213749,46.227638,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,33689.293
France,2.213749,46.227638,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,860.0089999999999
France,2.213749,46.227638,Europe,EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,28004.872000000003
France,2.213749,46.227638,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,56952.001
France,2.213749,46.227638,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,20920.91
France,2.213749,46.227638,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,26094.447999999997
France,2.213749,46.227638,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,92030.20199999999
France,2.213749,46.227638,Europe,EU,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,71632.548
Germany,10.451526,51.165690999999995,Europe,EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,705.75
Germany,10.451526,51.165690999999995,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,8077.26
Germany,10.451526,51.165690999999995,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,14807.192
Germany,10.451526,51.165690999999995,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,3435.4509999999996
Germany,10.451526,51.165690999999995,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,124244.784
Germany,10.451526,51.165690999999995,Europe,EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,468.09
Germany,10.451526,51.165690999999995,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,725.112
Germany,10.451526,51.165690999999995,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,17817.836
Germany,10.451526,51.165690999999995,Europe,EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,12731.48
