Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
France,2.213749,46.227638,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,194026.775
France,2.213749,46.227638,Europe,EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,225.63
France,2.213749,46.227638,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,2278.248
France,2.213749,46.227638,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,62969.289
France,2.213749,46.227638,Europe,EU,Senegal,-14.452362,14.497401,Africa,1000 US$,34288.324
France,2.213749,46.227638,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,1112.827
France,2.213749,46.227638,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,3895.174
France,2.213749,46.227638,Europe,EU,South Korea,127.766922,35.907757,Asia,1000 US$,53251.808
France,2.213749,46.227638,Europe,EU,Suriname,-56.027783,3.919305,South America,1000 US$,80.92
France,2.213749,46.227638,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,58383.15
France,2.213749,46.227638,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,66001.982
France,2.213749,46.227638,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,1473.34
France,2.213749,46.227638,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,762.696
France,2.213749,46.227638,Europe,EU,Uruguay,-55.765835,-32.522779,South America,1000 US$,1079.803
France,2.213749,46.227638,Europe,EU,Vietnam,108.277199,14.058324,Asia,1000 US$,49234.84
Germany,10.451526,51.165691,Europe,EU,Argentina,-63.616672,-38.416097,South America,1000 US$,9329.64
Germany,10.451526,51.165691,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,7.14
Germany,10.451526,51.165691,Europe,EU,Bangladesh,90.356331,23.684994,Asia,1000 US$,3323.35
Germany,10.451526,51.165691,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,11485.4
Germany,10.451526,51.165691,Europe,EU,Canada,-106.346771,56.130366,North America,1000 US$,24650.603
Germany,10.451526,51.165691,Europe,EU,Chile,-71.542969,-35.675147,South America,1000 US$,3888.17
Germany,10.451526,51.165691,Europe,EU,China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,263.457
Germany,10.451526,51.165691,Europe,EU,China_mainland,116.383331,39.916668,Asia,1000 US$,14297.47
Germany,10.451526,51.165691,Europe,EU,China_Taiwan Province of,120.960515,23.69781,Asia,1000 US$,5975.59
Germany,10.451526,51.165691,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,18098.911
Germany,10.451526,51.165691,Europe,EU,Congo,15.827659,-0.228021,Africa,1000 US$,86.83
Germany,10.451526,51.165691,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,28629.537
Germany,10.451526,51.165691,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,134465.3
Germany,10.451526,51.165691,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,29136.64
Germany,10.451526,51.165691,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,406.31
Germany,10.451526,51.165691,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,1413.608
Germany,10.451526,51.165691,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,24230.31
Germany,10.451526,51.165691,Europe,EU,Malawi,34.301525,-13.254308,Africa,1000 US$,214.52
Germany,10.451526,51.165691,Europe,EU,Mauritius,57.552152,-20.348404,Africa,1000 US$,705.75
Germany,10.451526,51.165691,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,8077.26
Germany,10.451526,51.165691,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,14807.192
Germany,10.451526,51.165691,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,3435.451
Germany,10.451526,51.165691,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,124244.784
Germany,10.451526,51.165691,Europe,EU,Senegal,-14.452362,14.497401,Africa,1000 US$,468.09
Germany,10.451526,51.165691,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,725.112
Germany,10.451526,51.165691,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,9769.05
Germany,10.451526,51.165691,Europe,EU,South Korea,127.766922,35.907757,Asia,1000 US$,12731.48
Germany,10.451526,51.165691,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,17817.836
Germany,10.451526,51.165691,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,79329.12
Germany,10.451526,51.165691,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,1231.27
Germany,10.451526,51.165691,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,449.972
Germany,10.451526,51.165691,Europe,EU,Uruguay,-55.765835,-32.522779,South America,1000 US$,90.02
Germany,10.451526,51.165691,Europe,EU,Vietnam,108.277199,14.058324,Asia,1000 US$,1231.83
Greece,21.824312,39.074208,Europe,EU,Bangladesh,90.356331,23.684994,Asia,1000 US$,32.43
Greece,21.824312,39.074208,Europe,EU,Congo,15.827659,-0.228021,Africa,1000 US$,6.39
Greece,21.824312,39.074208,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,53.02
Greece,21.824312,39.074208,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,256.46
Greece,21.824312,39.074208,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,230.79
Greece,21.824312,39.074208,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,443.8
Greece,21.824312,39.074208,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,2956.168
Greece,21.824312,39.074208,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,6.19
Hungary,19.503304,47.162494,Europe,EU,Argentina,-63.616672,-38.416097,South America,1000 US$,74.27
Hungary,19.503304,47.162494,Europe,EU,Bangladesh,90.356331,23.684994,Asia,1000 US$,544.92
Hungary,19.503304,47.162494,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,18.4
Hungary,19.503304,47.162494,Europe,EU,Canada,-106.346771,56.130366,North America,1000 US$,159.39
Hungary,19.503304,47.162494,Europe,EU,Chile,-71.542969,-35.675147,South America,1000 US$,46
Hungary,19.503304,47.162494,Europe,EU,China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,110.35
Hungary,19.503304,47.162494,Europe,EU,China_mainland,116.383331,39.916668,Asia,1000 US$,1582.44
Hungary,19.503304,47.162494,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,418.9
Hungary,19.503304,47.162494,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,403.12
Hungary,19.503304,47.162494,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,3039.35
Hungary,19.503304,47.162494,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,23497.34
Hungary,19.503304,47.162494,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,91.68
Hungary,19.503304,47.162494,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,58.32
Hungary,19.503304,47.162494,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,474.67
Hungary,19.503304,47.162494,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,102.51
Hungary,19.503304,47.162494,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,47.51
Hungary,19.503304,47.162494,Europe,EU,Paraguay,-58.443832,-23.442503,South America,1000 US$,17.9
Hungary,19.503304,47.162494,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,1974.67
Hungary,19.503304,47.162494,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,1598.37
Hungary,19.503304,47.162494,Europe,EU,Senegal,-14.452362,14.497401,Africa,1000 US$,82.87
Hungary,19.503304,47.162494,Europe,EU,South Korea,127.766922,35.907757,Asia,1000 US$,2999.86
Hungary,19.503304,47.162494,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,285.83
Hungary,19.503304,47.162494,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,7394.36
Hungary,19.503304,47.162494,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,296.14
Hungary,19.503304,47.162494,Europe,EU,Uruguay,-55.765835,-32.522779,South America,1000 US$,9.2
Hungary,19.503304,47.162494,Europe,EU,Vietnam,108.277199,14.058324,Asia,1000 US$,406.56
Ireland,-8.24389,53.41291,Europe,EU,Argentina,-63.616672,-38.416097,South America,1000 US$,283.56
Ireland,-8.24389,53.41291,Europe,EU,China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,93.16
Ireland,-8.24389,53.41291,Europe,EU,China_Taiwan Province of,120.960515,23.69781,Asia,1000 US$,92.95
Ireland,-8.24389,53.41291,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,178.98
